normalized differential,
4.139900E-07,4.066918E-13
1.125300E-06,2.825704E-11
3.059000E-06,7.962365E-10
1.067700E-05,7.373641E-09
2.902300E-05,2.404237E-08
1.013000E-04,1.185623E-07
2.753600E-04,4.099819E-07
5.829500E-04,1.204311E-06
1.234100E-03,4.002197E-06
3.354600E-03,2.135014E-05
1.033300E-02,1.563630E-04
2.187500E-02,6.279676E-04
2.478800E-02,5.722449E-04
3.430700E-02,2.080694E-03
5.247500E-02,2.725402E-03
1.110900E-01,1.179853E-02
1.576400E-01,1.589037E-02
2.472400E-01,3.674752E-02
3.688300E-01,4.712247E-02
5.502300E-01,7.091333E-02
6.392800E-01,4.365288E-02
7.427400E-01,4.831482E-02
8.208500E-01,2.674840E-02
9.616400E-01,4.052126E-02
1.108000E+00,3.298227E-02
1.422700E+00,6.017881E-02
1.826800E+00,5.755246E-02
2.306900E+00,6.032581E-02
2.385200E+00,1.847843E-02
3.011900E+00,1.261844E-01
4.065700E+00,4.444340E-02
4.723700E+00,2.998172E-02
4.965900E+00,1.113570E-02
6.376300E+00,3.622714E-02
7.408200E+00,9.127742E-03
8.187300E+00,5.905254E-03
9.048400E+00,3.046808E-03
1.000000E+01,1.812024E-03
1.105200E+01,1.438887E-03
1.221400E+01,1.387365E-03
1.252300E+01,6.852790E-04
1.384000E+01,6.874538E-03
1.419100E+01,1.843700E-02
1.491800E+01,5.523352E-02
1.690500E+01,6.085823E-02
1.964000E+01,9.803895E-03
